0.8848 1.7492999999999999 0.41285 O
0.6152 1.2493 0.16285 O
0.1152 1.7492999999999999 0.41285 O
0.3848 1.7507000000000001 0.16285 O
0.8848 1.2507 0.41285 O
0.6152 1.7507000000000001 0.16285 O
0.1152 1.2507 0.41285 O
0.6152 1.7507000000000001 0.33715 O
0.1152 1.2507 0.08715 O
0.3848 1.7507000000000001 0.33715 O
0.8848 1.2507 0.08715 O
0.6152 1.2493 0.33715 O
0.1152 1.7492999999999999 0.08715 O
0.3848 1.2493 0.33715 O
0.8848 1.7492999999999999 0.08715 O
0.3429 1.2162 0.0 O
0.8429 1.7162 0.25 O
0.6571 1.2162 0.0 O
0.1571 1.7162 0.25 O
0.3429 1.7838 0.0 O
0.8429 1.2838 0.25 O
0.6571 1.7838 0.0 O
0.1571 1.2838 0.25 O
0.25 1.25 0.125 O
0.75 1.75 0.375 O
0.75 1.25 0.125 O
0.25 1.75 0.375 O
0.25 1.75 0.125 O
0.75 1.25 0.375 O
0.75 1.75 0.125 O
0.25 1.25 0.375 O
0.1063 1.0918 0.0 O
0.6063 1.5918 0.25 O
0.8937 1.0918 0.0 O
0.3937 1.5918 0.25 O
0.1063 1.9082 0.0 O
0.6063 1.4082 0.25 O
0.8937 1.9082 0.0 O
0.3937 1.4082 0.25 O
0.0 1.2094 0.0 O
0.5 1.7094 0.25 O
0.0 1.7906 0.0 O
0.5 1.2906 0.25 O
0.2041 1.0 0.08715 O
0.7041 1.5 0.33715 O
0.7959 1.0 0.08715 O
0.2959 1.5 0.33715 O
0.7959 1.0 0.41285 O
0.2959 1.5 0.16285 O
0.2041 1.0 0.41285 O
0.7041 1.5 0.16285 O
0.2529 1.0 0.25 O
0.7529 1.5 0.0 O
0.7471 1.0 0.25 O
0.2471 1.5 0.0 O
0.3244 1.2018 0.1032 Si
0.8244 1.7018 0.3532 Si
0.6756 1.2018 0.1032 Si
0.1756 1.7018 0.3532 Si
0.3244 1.7982 0.1032 Si
0.8244 1.2982 0.3532 Si
0.6756 1.7982 0.1032 Si
0.1756 1.2982 0.3532 Si
0.6756 1.7982 0.3968 Si
0.1756 1.2982 0.1468 Si
0.3244 1.7982 0.3968 Si
0.8244 1.2982 0.1468 Si
0.6756 1.2018 0.3968 Si
0.1756 1.7018 0.1468 Si
0.3244 1.2018 0.3968 Si
0.8244 1.7018 0.1468 Si
0.0843 1.2004 0.0 Si
0.5843 1.7004000000000001 0.25 Si
0.9157 1.2004 0.0 Si
0.4157 1.7004000000000001 0.25 Si
0.0843 1.7995999999999999 0.0 Si
0.5843 1.2995999999999999 0.25 Si
0.9157 1.7995999999999999 0.0 Si
0.4157 1.2995999999999999 0.25 Si
0.2743 1.0 0.14675 Si
0.7743 1.5 0.39675 Si
0.7257 1.0 0.14675 Si
0.2257 1.5 0.39675 Si
0.7257 1.0 0.35325 Si
0.2257 1.5 0.10325 Si
0.2743 1.0 0.35325 Si
0.7743 1.5 0.10325 Si
0.1553 1.0 0.0 Si
0.6553 1.5 0.25 Si
0.8447 1.0 0.0 Si
0.3447 1.5 0.25 Si
0.3201 1.0918 0.62505 O
0.8201 1.5918 0.87505 O
0.6799 1.0918 0.62505 O
0.1799 1.5918 0.87505 O
0.3201 1.9082 0.62505 O
0.8201 1.4082 0.87505 O
0.6799 1.9082 0.62505 O
0.1799 1.4082 0.87505 O
0.6799 1.9082 0.87495 O
0.1799 1.4082 0.62495 O
0.3201 1.9082 0.87495 O
0.8201 1.4082 0.62495 O
0.6799 1.0918 0.87495 O
0.1799 1.5918 0.62495 O
0.3201 1.0918 0.87495 O
0.8201 1.5918 0.62495 O
0.3848 1.2493 0.66285 O
0.8848 1.7492999999999999 0.91285 O
0.6152 1.2493 0.66285 O
0.1152 1.7492999999999999 0.91285 O
0.3848 1.7507000000000001 0.66285 O
0.8848 1.2507 0.91285 O
0.6152 1.7507000000000001 0.66285 O
0.1152 1.2507 0.91285 O
0.6152 1.7507000000000001 0.83715 O
0.1152 1.2507 0.58715 O
0.3848 1.7507000000000001 0.83715 O
0.8848 1.2507 0.58715 O
0.6152 1.2493 0.83715 O
0.1152 1.7492999999999999 0.58715 O
0.3848 1.2493 0.83715 O
0.8848 1.7492999999999999 0.58715 O
0.3429 1.2162 0.5 O
0.8429 1.7162 0.75 O
0.6571 1.2162 0.5 O
0.1571 1.7162 0.75 O
0.3429 1.7838 0.5 O
0.8429 1.2838 0.75 O
0.6571 1.7838 0.5 O
0.1571 1.2838 0.75 O
0.25 1.25 0.625 O
0.75 1.75 0.875 O
0.75 1.25 0.625 O
0.25 1.75 0.875 O
0.25 1.75 0.625 O
0.75 1.25 0.875 O
0.75 1.75 0.625 O
0.25 1.25 0.875 O
0.1063 1.0918 0.5 O
0.6063 1.5918 0.75 O
0.8937 1.0918 0.5 O
0.3937 1.5918 0.75 O
