13.675 13.675 14.767 90.0 90.0 120.0
3.0 0.0 0.0
0.0 3.0 0.0
0.0 0.0 3.0
2.9997 0.2264 0.1051 Si
2.106633 0.666367 0.561567 Si
2.7733 0.7736 0.8949 Si
2.439967 0.106933 0.228233 Si
2.106633 0.440267 0.561567 Si
2.2267 0.0003 0.1051 Si
2.893367 0.333633 0.438433 Si
2.560033 0.666967 0.771767 Si
2.2267 0.2264 0.1051 Si
2.893367 0.559733 0.438433 Si
2.560033 0.893067 0.771767 Si
0.666967 1.106933 0.228233 Si
0.893067 1.560033 0.228233 Si
0.666967 1.560033 0.228233 Si
0.439967 1.333033 0.228233 Si
0.568667 1.137333 0.456033 O
0.235333 1.470667 0.789367 O
0.098 1.9020000000000001 0.8773 O
0.764667 1.235333 0.210633 O
0.431333 1.568667 0.543967 O
0.098 1.196 0.8773 O
0.902 1.804 0.1227 O
0.431333 1.862667 0.543967 O
0.804 1.9020000000000001 0.8773 O
0.470667 1.235333 0.210633 O
0.13733299999999998 1.568667 0.543967 O
0.196 1.098 0.1227 O
0.862667 1.431333 0.456033 O
0.5293329999999999 1.764667 0.789367 O
0.235333 1.764667 0.789367 O
0.568667 1.431333 0.456033 O
0.764667 1.5293329999999998 0.210633 O
0.902 1.098 0.1227 O
0.643367 1.999933 0.500033 O
0.310033 1.333267 0.833367 O
0.0233 1.6899 0.8333 O
0.689967 1.023233 0.166633 O
0.356633 1.356567 0.499967 O
0.0233 1.3334 0.8333 O
0.689967 1.666733 0.166633 O
0.356633 1.000067 0.499967 O
0.3101 1.3334 0.8333 O
0.976767 1.666733 0.166633 O
0.643433 1.000067 0.499967 O
0.6899 1.6665999999999999 0.1667 O
0.356567 1.999933 0.500033 O
0.023233 1.333267 0.833367 O
0.6666 1.9767000000000001 0.8333 O
0.333267 1.310033 0.166633 O
0.999933 1.643367 0.499967 O
0.6666 1.6899 0.8333 O
0.333267 1.023233 0.166633 O
0.999933 1.356567 0.499967 O
0.3334 1.0233 0.1667 O
6.7e-05 1.356633 0.500033 O
0.666733 1.689967 0.833367 O
0.3334 1.3101 0.1667 O
6.7e-05 1.643433 0.500033 O
0.666733 1.9767670000000002 0.833367 O
0.643367 1.643433 0.500033 O
0.9767 1.3101 0.1667 O
0.9767 1.6665999999999999 0.1667 O
0.310033 1.9767670000000002 0.833367 O
0.786967 1.213133 0.464833 O
0.453633 1.546467 0.798167 O
0.8797 1.7595 0.8685 O
0.546367 1.092833 0.201833 O
0.213033 1.426167 0.5351670000000001 O
0.8797 1.1202 0.8685 O
0.546367 1.453533 0.201833 O
0.213033 1.786867 0.5351670000000001 O
0.2405 1.1203 0.8685 O
0.907167 1.453633 0.201833 O
0.573833 1.786967 0.5351670000000001 O
0.7595 1.8797000000000001 0.1315 O
0.426167 1.213033 0.464833 O
0.092833 1.546367 0.798167 O
0.786967 1.573833 0.464833 O
0.1203 1.2405 0.1315 O
0.453633 1.9071669999999998 0.798167 O
0.1203 1.8798 0.1315 O
0.666667 1.075633 0.333333 O
0.333333 1.408967 0.666667 O
0.2577 1.0 0.0 O
0.924367 1.333333 0.333333 O
0.591033 1.666667 0.666667 O
0.2577 1.2577 0.0 O
0.924367 1.591033 0.333333 O
0.591033 1.9243670000000002 0.666667 O
0.7423 1.0 0.0 O
0.408967 1.333333 0.333333 O
0.075633 1.666667 0.666667 O
0.7423 1.7423 0.0 O
0.408967 1.075633 0.333333 O
0.075633 1.408967 0.666667 O
1.0 1.2577 0.0 O
1.0 1.7423 0.0 O
0.2577 2.0 0.0 O
0.7423 2.0 0.0 O
0.0 1.2577 1.0 O
0.0 1.7423 1.0 O
0.2577 1.0 1.0 O
0.2577 1.2577 1.0 O
0.7423 1.0 1.0 O
0.7423 1.7423 1.0 O
1.0 1.2577 1.0 O
1.0 1.7423 1.0 O
0.2577 2.0 1.0 O
0.7423 2.0 1.0 O
0.333333 1.9243670000000002 0.666667 O
0.666667 1.591033 0.333333 O
0.0 1.2577 0.0 O
0.0 1.7423 0.0 O
0.666367 1.106633 0.438433 Si
0.333033 1.439967 0.771767 Si
0.0003 1.7736 0.8949 Si
0.9997 1.7732999999999999 0.1051 Si
0.333633 1.440267 0.561567 Si
0.0003 1.2267000000000001 0.8949 Si
0.333033 1.893067 0.771767 Si
0.333633 1.893367 0.561567 Si
0.2264 1.9997 0.8949 Si
0.893067 1.333033 0.228233 Si
0.559733 1.6663670000000002 0.561567 Si
0.2264 1.2267000000000001 0.8949 Si
0.666367 1.559733 0.438433 Si
0.559733 1.893367 0.561567 Si
